"class","method","INSTRUMENTATION","ASPECTJ","DOCUMENTATION","DOC_ASPECTJ","DOC_BYTEBUDDY","ARCHUNIT","WALA"
"java.util.zip.ZipInputStream","<init>","READ","READ","READ","YES","YES",TRUE,TRUE
"java.util.zip.ZipInputStream","getNextEntry","READ","READ","READ","YES","YES",TRUE,TRUE
"java.util.zip.ZipOutputStream","<init>","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.util.zip.ZipOutputStream","closeEntry","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"java.util.zip.ZipOutputStream","putNextEntry","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"javax.imageio.ImageIO","createImageInputStream","READ","READ","READ","YES","YES",TRUE,TRUE
"javax.imageio.ImageIO","createImageOutputStream","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"javax.imageio.ImageIO","getImageReaders","READ","READ","READ","YES","YES",TRUE,TRUE
"javax.imageio.ImageIO","read","READ","READ","READ","YES","YES",TRUE,TRUE
"javax.imageio.ImageIO","write","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"javax.imageio.stream.FileCacheImageInputStream","<init>","READ","READ","READ","YES","YES",TRUE,TRUE
"javax.imageio.stream.FileImageInputStream","<init>","READ","READ","READ","YES","YES",TRUE,TRUE
"javax.print.DocPrintJob","print","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"javax.sound.midi.MidiSystem","getSoundbank","READ","READ,UNKNOWN","READ","YES","YES",TRUE,TRUE
"javax.sound.sampled.AudioSystem","getAudioInputStream","READ","READ","READ","YES","YES",TRUE,TRUE
"javax.sound.sampled.AudioSystem","write","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"javax.xml.bind.Marshaller","marshal","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
"javax.xml.bind.Unmarshaller","unmarshal","READ","READ","READ","YES","YES",TRUE,TRUE
"javax.xml.parsers.DocumentBuilder","parse","READ","READ","READ","YES","YES",TRUE,TRUE
"javax.xml.parsers.SAXParser","parse","READ","READ","READ","YES","YES",TRUE,TRUE
"javax.xml.transform.Transformer","transform","OVERWRITE","OVERWRITE","OVERWRITE","YES","YES",TRUE,TRUE
